"window","mean_psi","equiv_suitable_days","equiv_deficit_days","equiv_suitable_days_per_year","equiv_deficit_days_per_year","n_days"
"Apr-May (main)",0.493590064626267,361.307927306427,370.692072693573,30.1089939422024,30.8910060577977,732
"Mar-Jun (sensitivity)",0.451148730398273,660.481741303074,803.518258696925,55.0401451085894,66.9598548914106,1464
"Annual (context)",0.388979250722218,1704.85102297767,2678.14897702232,142.070918581474,223.179081418526,4383
