"NUTS_ID","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","psi_mean","psi_days","psi_deficit","psi_days_per_year","psi_deficit_per_year","psi_interannual_sd","rape_frac","rape_suit","rape_bad","temf_frac","temf_suit","temf_bad","sunf_frac","sunf_suit","sunf_bad","region_id"
"BE25",2,"BE","Prov. West-Vlaanderen","Prov. West-Vlaanderen",NA,NA,NA,0.582866072654724,426.657958984375,305.342102050781,35.5548248291016,25.4451751708984,0.169304206967354,0.00118917366489768,0.000704124046023935,0.0302903354167938,0.00750718079507351,0.00440111011266708,0.192206457257271,2.29437282541767e-05,1.3458397006616e-05,0.000578605220653117,"BE25"
"BE32",2,"BE","Prov. Hainaut","Prov. Hainaut",NA,NA,NA,0.557802319526672,408.311248779297,323.688720703125,34.0259399414062,26.9740619659424,0.167061015963554,0.0035478079225868,0.00197742925956845,0.095793105661869,0.00931517872959375,0.00525450520217419,0.247701078653336,0.000284160807495937,0.000146239763125777,0.00841318350285292,"BE32"
"BE23",2,"BE","Prov. Oost-Vlaanderen","Prov. Oost-Vlaanderen",NA,NA,NA,0.576357364654541,421.893615722656,310.106384277344,35.1577987670898,25.8421993255615,0.164586991071701,0.000249331846134737,0.0001439701882191,0.00642706220969558,0.00877144280821085,0.0050608734600246,0.226344704627991,0,0,0,"BE23"
"BE31",2,"BE","Prov. Brabant wallon","Prov. Brabant wallon",NA,NA,NA,0.556279063224792,407.1962890625,324.803741455078,33.9330253601074,27.0669784545898,0.163813680410385,0.00656041176989675,0.00362502527423203,0.179058611392975,0.00909949745982885,0.00504720956087112,0.247189566493034,0,0,0,"BE31"
"NL36",2,"NL","Zuid-Holland","Zuid-Holland",NA,NA,NA,0.522631824016571,382.566497802734,349.433471679688,31.880542755127,29.1194534301758,0.161106392741203,0.000363506813300774,0.000184542703209445,0.0103345364332199,0,0,0,0,0,0,"NL36"
"NL34",2,"NL","Zeeland","Zeeland",NA,NA,NA,0.557237327098846,407.897735595703,324.102294921875,33.9914779663086,27.00852394104,0.160293877124786,0.000413516478147358,0.000229481607675552,0.0106944926083088,0.00794568751007318,0.00455255201086402,0.206981241703033,0,0,0,"NL34"
"DEC0",2,"DE","Saarland","Saarland",NA,NA,NA,0.529525816440582,387.612884521484,344.387084960938,32.3010749816895,28.6989250183105,0.160172894597054,0.0172476395964622,0.00910107605159283,0.496940314769745,0.00422210618853569,0.00225253798998892,0.12014365196228,0.00112294056452811,0.000602044397965074,0.0317746624350548,"DEC0"
"BE24",2,"BE","Prov. Vlaams-Brabant","Prov. Vlaams-Brabant",NA,NA,NA,0.576606512069702,422.075988769531,309.924041748047,35.1730003356934,25.8270053863525,0.159309938549995,0.00157617393415421,0.000908348418306559,0.0407373495399952,0.00844623800367117,0.00487795937806368,0.217664957046509,0,0,0,"BE24"
"NL35",2,"NL","Utrecht","Utrecht",NA,NA,NA,0.518984317779541,379.896514892578,352.103485107422,31.6580448150635,29.3419589996338,0.157504856586456,0.000369794928701594,0.000191568993614055,0.0108717828989029,0,0,0,0,0,0,"NL35"
"BE10",2,"BE","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",NA,NA,NA,0.567099511623383,415.116821289062,316.883117675781,34.5930709838867,26.4069290161133,0.157133176922798,0.00211897515691817,0.00121030199807137,0.0554290637373924,0.00191036099568009,0.00109336548484862,0.0498367175459862,0,0,0,"BE10"
