"NUTS_ID","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","region_id","psi_mean_am","psi_equiv_days_per_year_am","psi_interannual_sd_am","psi_mean_rape","psi_equiv_days_rape","psi_equiv_days_per_year_rape","psi_deficit_days_rape","psi_deficit_days_per_year_rape","psi_interannual_sd_rape","crop_frac_rape","crop_suit_rape","crop_bad_rape","psi_mean_temf","psi_equiv_days_temf","psi_equiv_days_per_year_temf","psi_deficit_days_temf","psi_deficit_days_per_year_temf","psi_interannual_sd_temf","crop_frac_temf","crop_suit_temf","crop_bad_temf","psi_mean_sunf","psi_equiv_days_sunf","psi_equiv_days_per_year_sunf","psi_deficit_days_sunf","psi_deficit_days_per_year_sunf","psi_interannual_sd_sunf","crop_frac_sunf","crop_suit_sunf","crop_bad_sunf","crop","metric","rank","value"
"NL41",2,"NL","Noord-Brabant","Noord-Brabant",NA,NA,NA,"NL41",0.249442115426064,15.2159700393677,0.0951170399785042,0.249442115426064,182.591644287109,15.2159700393677,549.408386230469,45.7840347290039,0.0951170399785042,0.000300006358884275,7.34923087293282e-05,0.0138173568993807,0.186564370989799,80.5958099365234,6.71631717681885,351.404235839844,29.2836837768555,0.112854696810246,0.051698487251997,0.00976935029029846,1.50944888591766,0.683118760585785,262.317626953125,21.8598003387451,121.682395935059,10.1401996612549,0.141407087445259,0,0,0,"temf","crop_bad",1,1.50944888591766
"NL42",2,"NL","Limburg (NL)","Limburg (NL)",NA,NA,NA,"NL42",0.266718477010727,16.2698287963867,0.0967938080430031,0.266718477010727,195.237945556641,16.2698287963867,536.762023925781,44.7301712036133,0.0967938080430031,0.00144007953349501,0.000384745275368914,0.0643753856420517,0.20196470618248,87.2487487792969,7.27072954177856,344.751251220703,28.7292709350586,0.115684822201729,0.0453949086368084,0.00902022514492273,1.30948865413666,0.683001756668091,262.272644042969,21.8560562133789,121.727325439453,10.1439437866211,0.141051650047302,0,0,0,"temf","crop_bad",2,1.30948865413666
"NL22",2,"NL","Gelderland","Gelderland",NA,NA,NA,"NL22",0.228167936205864,13.9182434082031,0.0977490246295929,0.228167936205864,167.018920898438,13.9182434082031,564.981079101562,47.0817565917969,0.0977490246295929,0.0020891185849905,0.000497141620144248,0.0971105918288231,0.160162374377251,69.1901397705078,5.76584529876709,362.809844970703,30.2341537475586,0.104011081159115,0.0312812067568302,0.0053246458992362,0.934436202049255,0.650991559028625,249.980728149414,20.831729888916,134.019256591797,11.1682710647583,0.143356129527092,0,0,0,"temf","crop_bad",3,0.934436202049255
"DE14",2,"DE","Tübingen","Tübingen",NA,NA,NA,"DE14",0.176559865474701,10.77015209198,0.0796922817826271,0.176559865474701,129.241821289062,10.77015209198,602.758178710938,50.229850769043,0.0796922817826271,0.00971795432269573,0.00166269287001342,0.491370916366577,0.134257256984711,57.9991340637207,4.83326148986816,374.000885009766,31.1667404174805,0.0864428207278252,0.0254825167357922,0.00358690647408366,0.788241922855377,0.579764187335968,222.629425048828,18.552453994751,161.370590209961,13.447548866272,0.16100911796093,0.000507257995195687,0.00029463751707226,0.00680385529994965,"temf","crop_bad",4,0.788241922855377
"DE11",2,"DE","Stuttgart","Stuttgart",NA,NA,NA,"DE11",0.240167707204819,14.6502294540405,0.0981574282050133,0.240167707204819,175.802749633789,14.6502294540405,556.197204589844,46.3497695922852,0.0981574282050133,0.00856321584433317,0.00205284683033824,0.397132486104965,0.189326554536819,81.7890625,6.81575536727905,350.2109375,29.1842441558838,0.110427886247635,0.0217693876475096,0.00436655152589083,0.626502096652985,0.686828196048737,263.742034912109,21.9785022735596,120.257965087891,10.0214967727661,0.147555336356163,0.000472713058115914,0.000328120775520802,0.00462695304304361,"temf","crop_bad",5,0.626502096652985
"DE60",2,"DE","Hamburg","Hamburg",NA,NA,NA,"DE60",0.204711765050888,12.4874172210693,0.110863588750362,0.204711765050888,149.849014282227,12.4874172210693,582.151000976562,48.512580871582,0.110863588750362,0,0,0,0.135274782776833,58.4387130737305,4.86989212036133,373.561279296875,31.1301078796387,0.0955065488815308,0.0195820070803165,0.00271364324726164,0.607261121273041,0.659790992736816,253.359741210938,21.1133117675781,130.640243530273,10.8866863250732,0.139452308416367,0,0,0,"temf","crop_bad",6,0.607261121273041
"DE12",2,"DE","Karlsruhe","Karlsruhe",NA,NA,NA,"DE12",0.245679870247841,14.9864711761475,0.0999580770730972,0.245679870247841,179.837661743164,14.9864711761475,552.162353515625,46.0135307312012,0.0999580770730972,0.00625666743144393,0.00160039914771914,0.284032374620438,0.196115583181381,84.7219314575195,7.06016111373901,347.278076171875,28.9398422241211,0.113762848079205,0.020098552107811,0.00419304892420769,0.572598099708557,0.68977826833725,264.874847412109,22.072904586792,119.125152587891,9.92709636688232,0.151910543441772,0.00033926049945876,0.000239559114561416,0.00319044385105371,"temf","crop_bad",7,0.572598099708557
"DE13",2,"DE","Freiburg","Freiburg",NA,NA,NA,"DE13",0.193506643176079,11.8039054870605,0.0868307501077652,0.193506643176079,141.646865844727,11.8039054870605,590.353149414062,49.1960945129395,0.0868307501077652,0.00760184787213802,0.00146562838926911,0.374309420585632,0.152529060840607,65.8925552368164,5.49104642868042,366.107452392578,30.5089530944824,0.0967587828636169,0.019050432369113,0.00383994425646961,0.547577619552612,0.623914420604706,239.583160400391,19.9652614593506,144.416854858398,12.0347375869751,0.16622506082058,0.000560799555387348,0.000361514190444723,0.00637713167816401,"temf","crop_bad",8,0.547577619552612
"DEF0",2,"DE","Schleswig-Holstein","Schleswig-Holstein",NA,NA,NA,"DEF0",0.154202789068222,9.40637016296387,0.0860830396413803,0.154202789068222,112.876449584961,9.40637016296387,619.12353515625,51.5936317443848,0.0860830396413803,0.0386143401265144,0.005850815679878,2.0127284526825,0.0847296640276909,36.603214263916,3.05026769638062,395.396789550781,32.9497337341309,0.0665074437856674,0.0136487940326333,0.00121960195247084,0.447450935840607,0.619544625282288,237.905136108398,19.8254280090332,146.094879150391,12.1745729446411,0.143228784203529,0.000421445380197838,0.000275343132670969,0.00467527052387595,"temf","crop_bad",9,0.447450935840607
"BE32",2,"BE","Prov. Hainaut","Prov. Hainaut",NA,NA,NA,"BE32",0.241825148463249,14.7513332366943,0.105620078742504,0.241825148463249,177.016021728516,14.7513332366943,554.984008789062,46.248664855957,0.105620078742504,0.0035478079225868,0.000857260543853045,0.164123401045799,0.184954255819321,79.9002380371094,6.65835332870483,352.099761962891,29.341646194458,0.128181159496307,0.00931517872959375,0.00173834932502359,0.272765845060349,0.703221023082733,270.036865234375,22.5030727386475,113.96312713623,9.49692726135254,0.150615140795708,0.000284160807495937,0.000191412953427061,0.00296793133020401,"temf","crop_bad",10,0.272765845060349
