"NUTS_ID","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","psi_mean","psi_days","psi_deficit","psi_days_per_year","psi_deficit_per_year","psi_sd","rape_frac","rape_suit","rape_bad","temf_frac","temf_suit","temf_bad","sunf_frac","sunf_suit","sunf_bad","region_id"
"DED5",2,"DE","Leipzig","Leipzig",NA,NA,NA,0.559150576591492,409.298217773438,322.701812744141,34.1081848144531,26.8918170928955,0.439147025346756,0.0397649295628071,0.022200021892786,1.07145941257477,0.00490598194301128,0.00273893307894468,0.132190003991127,0.000901417108252645,0.000503695977386087,0.0242609940469265,"DED5"
"DED2",2,"DE","Dresden","Dresden",NA,NA,NA,0.520232796669006,380.810394287109,351.189605712891,31.7342014312744,29.2658004760742,0.439061939716339,0.0325184911489487,0.0168328247964382,0.956825792789459,0.00362827582284808,0.00190126628149301,0.105347573757172,0.000722443161066622,0.000376520823920146,0.021101264283061,"DED2"
"DE72",2,"DE","Gießen","Gießen",NA,NA,NA,0.480258643627167,351.549285888672,380.45068359375,29.2957744598389,31.7042217254639,0.438883721828461,0.0125161353498697,0.00610955432057381,0.390801459550858,0.00611372431740165,0.00308015942573547,0.185047477483749,6.6001433879137e-05,3.24649408867117e-05,0.00204572617076337,"DE72"
"DE26",2,"DE","Unterfranken","Unterfranken",NA,NA,NA,0.52300351858139,382.838531494141,349.161437988281,31.9032135009766,29.0967864990234,0.43857079744339,0.0128445569425821,0.00678025372326374,0.369922488927841,0.00369416293688118,0.00200572959147394,0.102994419634342,0.000771536608226597,0.000412571302149445,0.0218968857079744,"DE26"
"DE73",2,"DE","Kassel","Kassel",NA,NA,NA,0.456081062555313,333.851318359375,398.148681640625,27.8209438323975,33.1790580749512,0.438186556100845,0.0159592255949974,0.00733045535162091,0.526354908943176,0.00557235814630985,0.00269502052105963,0.175517588853836,8.77469719853252e-05,4.06529761676211e-05,0.00287273386493325,"DE73"
"DEG0",2,"DE","Thüringen","Thüringen",NA,NA,NA,0.46648845076561,341.469543457031,390.530456542969,28.4557971954346,32.5442047119141,0.437460124492645,0.039261631667614,0.0187606252729893,1.25056147575378,0.00439339457079768,0.00223688688129187,0.131546959280968,0.000588110240641981,0.000284215988358483,0.0185375493019819,"DEG0"
"DE25",2,"DE","Mittelfranken","Mittelfranken",NA,NA,NA,0.519186198711395,380.044311523438,351.955688476562,31.6703586578369,29.3296394348145,0.436877936124802,0.0138688841834664,0.00713029224425554,0.411054134368896,0.00279898685403168,0.00145692529622465,0.0818657502532005,0.000845385831780732,0.000434003624832258,0.0250943154096603,"DE25"
"DE11",2,"DE","Stuttgart","Stuttgart",NA,NA,NA,0.525277137756348,384.502838134766,347.497161865234,32.0419044494629,28.9580974578857,0.436727404594421,0.00856321584433317,0.00450760824605823,0.247392028570175,0.0217693876475096,0.011786924675107,0.608930289745331,0.000472713058115914,0.000250943849096075,0.0135279214009643,"DE11"
"DEB1",2,"DE","Koblenz","Koblenz",NA,NA,NA,0.495303899049759,362.562469482422,369.437561035156,30.2135372161865,30.7864627838135,0.436712294816971,0.0302460547536612,0.0153684671968222,0.907532870769501,0.00286286789923906,0.00142444728408009,0.0877436622977257,0.000335830147378147,0.000170967963640578,0.0100565925240517,"DEB1"
"DEC0",2,"DE","Saarland","Saarland",NA,NA,NA,0.529525816440582,387.612884521484,344.387084960938,32.3010749816895,28.6989250183105,0.436489552259445,0.0172476395964622,0.00910107605159283,0.496940314769745,0.00422210618853569,0.00225253798998892,0.12014365196228,0.00112294056452811,0.000602044397965074,0.0317746624350548,"DEC0"
