"crop","mean_bad","p90_bad","mean_suit"
"rape",0.576865246473644,1.50820302963257,0.00268405712279777
"temf",0.226160304712468,0.572598099708557,0.00136423439739776
"sunf",0.00405580312305619,0.00941024906933308,0.000273228553493534
