"NUTS_ID","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","psi_mean","psi_days","psi_deficit","psi_days_per_year","psi_deficit_per_year","psi_interannual_sd","rape_frac","rape_suit","rape_bad","temf_frac","temf_suit","temf_bad","sunf_frac","sunf_suit","sunf_bad","region_id"
"BE24",2,"BE","Prov. Vlaams-Brabant","Prov. Vlaams-Brabant",NA,NA,NA,0.576606512069702,422.075988769531,309.924041748047,35.1730003356934,25.8270053863525,0.159309938549995,0.00157617393415421,0.000908348418306559,0.0407373495399952,0.00844623800367117,0.00487795937806368,0.217664957046509,0,0,0,"BE24"
"BE25",2,"BE","Prov. West-Vlaanderen","Prov. West-Vlaanderen",NA,NA,NA,0.582866072654724,426.657958984375,305.342102050781,35.5548248291016,25.4451751708984,0.169304206967354,0.00118917366489768,0.000704124046023935,0.0302903354167938,0.00750718079507351,0.00440111011266708,0.192206457257271,2.29437282541767e-05,1.3458397006616e-05,0.000578605220653117,"BE25"
"BE31",2,"BE","Prov. Brabant wallon","Prov. Brabant wallon",NA,NA,NA,0.556279063224792,407.1962890625,324.803741455078,33.9330253601074,27.0669784545898,0.163813680410385,0.00656041176989675,0.00362502527423203,0.179058611392975,0.00909949745982885,0.00504720956087112,0.247189566493034,0,0,0,"BE31"
"BE32",2,"BE","Prov. Hainaut","Prov. Hainaut",NA,NA,NA,0.557802319526672,408.311248779297,323.688720703125,34.0259399414062,26.9740619659424,0.167061015963554,0.0035478079225868,0.00197742925956845,0.095793105661869,0.00931517872959375,0.00525450520217419,0.247701078653336,0.000284160807495937,0.000146239763125777,0.00841318350285292,"BE32"
"BE33",2,"BE","Prov. Liège","Prov. Liège",NA,NA,NA,0.465456873178482,340.714416503906,391.285614013672,28.3928680419922,32.6071319580078,0.148671180009842,0.00708952639251947,0.00370922172442079,0.206198573112488,0.00837875064462423,0.00445976760238409,0.239057973027229,0,0,0,"BE33"
"BE34",2,"BE","Prov. Luxembourg (BE)","Prov. Luxembourg (BE)",NA,NA,NA,0.425949573516846,311.795043945312,420.204895019531,25.9829235076904,35.0170745849609,0.156697571277618,0.00709474831819534,0.00328083359636366,0.232648834586143,0.00839595030993223,0.00402975594624877,0.266337901353836,0.0031891530379653,0.0014666486531496,0.105072759091854,"BE34"
"BE35",2,"BE","Prov. Namur","Prov. Namur",NA,NA,NA,0.495247483253479,362.521148681641,369.478820800781,30.2100944519043,30.7899017333984,0.156277865171432,0.0115654757246375,0.00587429665029049,0.347161918878555,0.00657688267529011,0.00336962379515171,0.195642784237862,0.000880051462445408,0.000412619003327563,0.0285133831202984,"BE35"
"DE11",2,"DE","Stuttgart","Stuttgart",NA,NA,NA,0.525277137756348,384.502838134766,347.497161865234,32.0419044494629,28.9580974578857,0.138784497976303,0.00856321584433317,0.00450760824605823,0.247392028570175,0.0217693876475096,0.011786924675107,0.608930289745331,0.000472713058115914,0.000250943849096075,0.0135279214009643,"DE11"
"DE12",2,"DE","Karlsruhe","Karlsruhe",NA,NA,NA,0.521819233894348,381.9716796875,350.0283203125,31.8309745788574,29.1690254211426,0.144351780414581,0.00625666743144393,0.00336485612206161,0.176400512456894,0.020098552107811,0.0109852561727166,0.555911064147949,0.00033926049945876,0.000184459087904543,0.00944288540631533,"DE12"
"DE13",2,"DE","Freiburg","Freiburg",NA,NA,NA,0.445460557937622,326.0771484375,405.922882080078,27.173095703125,33.826904296875,0.143118992447853,0.00760184787213802,0.00339576997794211,0.256570756435394,0.019050432369113,0.00989716127514839,0.558349549770355,0.000560799555387348,0.000271816126769409,0.0176279898732901,"DE13"
"DE14",2,"DE","Tübingen","Tübingen",NA,NA,NA,0.434041768312454,317.718597412109,414.281433105469,26.4765510559082,34.5234527587891,0.137214675545692,0.00971795432269573,0.00416171550750732,0.338930577039719,0.0254825167357922,0.0114187002182007,0.857892692089081,0.000507257995195687,0.000220494795939885,0.0174925550818443,"DE14"
"DE21",2,"DE","Oberbayern","Oberbayern",NA,NA,NA,0.434393525123596,317.97607421875,414.02392578125,26.4980049133301,34.5019950866699,0.131785333156586,0.0116905691102147,0.00554923340678215,0.374621510505676,0.00339709571562707,0.00164165673777461,0.107081785798073,0.000769361213315278,0.000365535786841065,0.0246333535760641,"DE21"
"DE22",2,"DE","Niederbayern","Niederbayern",NA,NA,NA,0.487955361604691,357.183319091797,374.816680908203,29.7652759552002,31.2347221374512,0.132569640874863,0.010841378942132,0.00553930550813675,0.323426425457001,0.00405261712148786,0.00211129989475012,0.118420340120792,0.000727436854504049,0.000373580493032932,0.021585239097476,"DE22"
"DE23",2,"DE","Oberpfalz","Oberpfalz",NA,NA,NA,0.48075607419014,351.913452148438,380.086578369141,29.3261203765869,31.6738815307617,0.138201326131821,0.0128646604716778,0.00620941538363695,0.405969887971878,0.00281164539046586,0.00142835674341768,0.0843806192278862,0.000633598712738603,0.000307287205941975,0.0199050046503544,"DE23"
"DE24",2,"DE","Oberfranken","Oberfranken",NA,NA,NA,0.455612540245056,333.508361816406,398.491668701172,27.7923641204834,33.2076377868652,0.130927667021751,0.0142169455066323,0.00646268809214234,0.473009675741196,0.00247353548184037,0.00119746243581176,0.0778404548764229,0.000736996647901833,0.000338242447469383,0.0243240054696798,"DE24"
"DE25",2,"DE","Mittelfranken","Mittelfranken",NA,NA,NA,0.519186198711395,380.044311523438,351.955688476562,31.6703586578369,29.3296394348145,0.130662083625793,0.0138688841834664,0.00713029224425554,0.411054134368896,0.00279898685403168,0.00145692529622465,0.0818657502532005,0.000845385831780732,0.000434003624832258,0.0250943154096603,"DE25"
"DE26",2,"DE","Unterfranken","Unterfranken",NA,NA,NA,0.52300351858139,382.838531494141,349.161437988281,31.9032135009766,29.0967864990234,0.139354154467583,0.0128445569425821,0.00678025372326374,0.369922488927841,0.00369416293688118,0.00200572959147394,0.102994419634342,0.000771536608226597,0.000412571302149445,0.0218968857079744,"DE26"
"DE27",2,"DE","Schwaben","Schwaben",NA,NA,NA,0.421524733304977,308.556091308594,423.443878173828,25.7130069732666,35.2869911193848,0.125126987695694,0.0122445737943053,0.00567144015803933,0.400961130857468,0.00406824378296733,0.00191839504987001,0.131140783429146,0.000806446827482432,0.000373316055629402,0.0264209788292646,"DE27"
"DE30",2,"DE","Berlin","Berlin",NA,NA,NA,0.6020388007164,440.6923828125,291.3076171875,36.724365234375,24.2756328582764,0.112794354557991,0.0112731633707881,0.00670085055753589,0.278911054134369,0.000600201019551605,0.000356664619175717,0.014855720102787,0.00161449506413192,0.000959574361331761,0.0399501658976078,"DE30"
"DE40",2,"DE","Brandenburg","Brandenburg",NA,NA,NA,0.551879584789276,403.975830078125,328.024169921875,33.6646537780762,27.3353462219238,0.118687406182289,0.0186641737818718,0.0101996529847383,0.516335785388947,0.00118235114496201,0.000649997149594128,0.0324735902249813,0.0025107457768172,0.00137728499248624,0.0691411197185516,"DE40"
"DE50",2,"DE","Bremen","Bremen",NA,NA,NA,0.491645961999893,359.884857177734,372.115142822266,29.990406036377,31.0095977783203,0.125142440199852,0.00976654514670372,0.00479242485016584,0.303421288728714,0.00568339927121997,0.00282032857649028,0.174647286534309,3.46419037668966e-05,1.69910872500623e-05,0.00107669993303716,"DE50"
"DE60",2,"DE","Hamburg","Hamburg",NA,NA,NA,0.47208696603775,345.567687988281,386.432312011719,28.7973041534424,32.202693939209,0.135110035538673,0,0,0,0.0195820070803165,0.0093320095911622,0.625249862670898,0,0,0,"DE60"
"DE71",2,"DE","Darmstadt","Darmstadt",NA,NA,NA,0.557443737983704,408.048797607422,323.951232910156,34.0040664672852,26.9959373474121,0.145059362053871,0.00996767077594995,0.0056046093814075,0.266146779060364,0.00494623044505715,0.0028114162851125,0.130223661661148,6.08756963629276e-05,3.48478970408905e-05,0.00158769579138607,"DE71"
"DE72",2,"DE","Gießen","Gießen",NA,NA,NA,0.480258643627167,351.549285888672,380.45068359375,29.2957744598389,31.7042217254639,0.138393118977547,0.0125161353498697,0.00610955432057381,0.390801459550858,0.00611372431740165,0.00308015942573547,0.185047477483749,6.6001433879137e-05,3.24649408867117e-05,0.00204572617076337,"DE72"
"DE73",2,"DE","Kassel","Kassel",NA,NA,NA,0.456081062555313,333.851318359375,398.148681640625,27.8209438323975,33.1790580749512,0.133558198809624,0.0159592255949974,0.00733045535162091,0.526354908943176,0.00557235814630985,0.00269502052105963,0.175517588853836,8.77469719853252e-05,4.06529761676211e-05,0.00287273386493325,"DE73"
"DE80",2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",NA,NA,NA,0.472665876150131,345.991455078125,386.008575439453,28.8326206207275,32.1673812866211,0.118755295872688,0.0512197390198708,0.0242597013711929,1.67919993400574,0.00120059540495276,0.000570922682527453,0.0389852449297905,0.000506478361785412,0.000241822359384969,0.0163646321743727,"DE80"
"DE91",2,"DE","Braunschweig","Braunschweig",NA,NA,NA,0.480171322822571,351.485382080078,380.514587402344,29.2904510498047,31.7095508575439,0.131779313087463,0.0118212727829814,0.00584975723177195,0.36426243185997,0.00871631968766451,0.00445501273497939,0.259939670562744,0.000116846327728126,5.94212615396827e-05,0.00350292935036123,"DE91"
"DE92",2,"DE","Hannover","Hannover",NA,NA,NA,0.503619968891144,368.649810791016,363.350158691406,30.720817565918,30.279182434082,0.131146922707558,0.0122304856777191,0.00615607295185328,0.370539158582687,0.00854542199522257,0.00439207116141915,0.253354400396347,4.51570449513383e-05,2.27408163482323e-05,0.00136739003937691,"DE92"
"DE93",2,"DE","Lüneburg","Lüneburg",NA,NA,NA,0.478887289762497,350.545532226562,381.454498291016,29.2121257781982,31.7878742218018,0.132405936717987,0.0120012834668159,0.00570607045665383,0.384008049964905,0.00772998994216323,0.00382843147963285,0.237995088100433,6.20074279140681e-05,3.02720036415849e-05,0.00193586072418839,"DE93"
"DE94",2,"DE","Weser-Ems","Weser-Ems",NA,NA,NA,0.480046421289444,351.393981933594,380.606079101562,29.2828311920166,31.7171688079834,0.127047806978226,0.014480615966022,0.00695341173559427,0.459159404039383,0.00730675738304853,0.00362450839020312,0.224617213010788,5.22854606970213e-05,2.50913308263989e-05,0.00165884208399802,"DE94"
"DEA1",2,"DE","Düsseldorf","Düsseldorf",NA,NA,NA,0.558628439903259,408.916015625,323.084014892578,34.0763320922852,26.9236679077148,0.142678111791611,0.00702548725530505,0.00394547497853637,0.187880769371986,0.0021607622038573,0.00121080153621733,0.0579476021230221,0,0,0,"DEA1"
"DEA2",2,"DE","Köln","Köln",NA,NA,NA,0.521811902523041,381.966339111328,350.033660888672,31.8305282592773,29.169469833374,0.134033471345901,0.00592870963737369,0.0032128884922713,0.165665119886398,0.00172075571026653,0.000956042727921158,0.0466474965214729,0,0,0,"DEA2"
